name_ar,counting_note,avg_unit_cost,supplier_name,current_stock,material_category,base_unit
مسك اثارة,50 جرام,10.0,أهل الثقة,5.0,perfume_oil,g
هامول,50 جرام,5.0,أهل الثقة,45.0,perfume_oil,g
مسك رمان,50 جرام,8.1,أهل الثقة,0.0,perfume_oil,g
زجاجة شفافة 100 مل,200 قطعة,12.05,بحر,164.0,packaging,pcs
زجاجة شفافة 50 مل,500 قطعة,90.0,بحر / غير معروف,420.0,packaging,pcs
سكلبشر,50 جرام,15.0,أهل الثقة,50.0,perfume_oil,g
امبر نوماد لوي فيتون,50 جرام,40.0,أهل الثقة,38.0,perfume_oil,g
هاواي,50 جرام,7.0,أهل الثقة,50.0,perfume_oil,g
واي اف سان لوران,50 جرام,11.6,أهل الثقة,50.0,perfume_oil,g
خيالي مارشميلو,50 جرام,11.6,أهل الثقة,45.0,perfume_oil,g
توماس كاسامولا,50 جرام,21.2,أهل الثقة,50.0,perfume_oil,g
ديور هوم انتنس,50,12.0,أهل الثقة,20.0,perfume_oil,g
استرونجر ويذ يو,100,10.8,أهل الثقة,87.0,perfume_oil,g
ايدول,50,11.0,أهل الثقة,50.0,perfume_oil,g
بلاك ليكزس,100,8.8,أهل الثقة,90.0,perfume_oil,g
سي باشن,100,11.0,أهل الثقة,100.0,perfume_oil,g
ثري جي,50,7.0,أهل الثقة,42.0,perfume_oil,g
ليبر,100,8.4,أهل الثقة,75.0,perfume_oil,g
دارج,100,13.0,أهل الثقة,100.0,perfume_oil,g
غبار الفضة,50,6.4,اهل الثقة,47.0,perfume_oil,g
بكرات روج,100,19.2,الغبرة,77.0,perfume_oil,g
فوياج,50,12.05,الغبرة,50.0,perfume_oil,g
فهرنهايت,50,12.0,أهل الثقة,45.0,perfume_oil,g
مسك ابيض,50,5.0,أهل الثقة,42.0,perfume_oil,g
هوجو بوس رجالي,50,13.0,أهل الثقة,48.0,perfume_oil,g
سيجار,50,8.6,أهل الثقة,50.0,perfume_oil,g
كيس روح كرتون,500,65.0,,390.0,packaging,pcs
علبة روح كرتون,500,35.0,,431.0,packaging,pcs
حنجور زيت 12 جرام,25,12.0,أهل الثقة,13.0,packaging,pcs
حنجور زيت 6 جرام,25,10.0,أهل الثقة,11.0,packaging,pcs
ياسمين,50,6.0,أهل الثقة,50.0,perfume_oil,g
توكسيدو,50,19.0,أهل الثقة,50.0,perfume_oil,g
غريس شارنيل,50,22.45,الغبرة,50.0,perfume_oil,g
استرونجر ويذ يو انتنسلي,50,9.0,أهل الثقة,50.0,perfume_oil,g
فارغة زجاج 250 جرام,opening packaging stock,150,مخزون افتتاحي,1,bottle,pcs
فارغة المنيوم 250 جرام,opening packaging stock,130,مخزون افتتاحي,60,bottle,pcs
